Chromosome	Start_Position	End_Position	SEQ_ASSAY_ID	Hugo_Symbol
9	133738302	133738491	UHN-48-V1	ABL1
9	133747476	133747664	UHN-48-V1	ABL1
9	133748157	133748327	UHN-48-V1	ABL1
9	133748277	133748457	UHN-48-V1	ABL1
9	133750328	133750516	UHN-48-V1	ABL1
14	105246429	105246600	UHN-48-V1	AKT1
2	29432636	29432822	UHN-48-V1	ALK
2	29443667	29443836	UHN-48-V1	ALK
5	112173887	112174071	UHN-48-V1	APC
5	112174603	112174775	UHN-48-V1	APC
5	112175034	112175208	UHN-48-V1	APC
5	112175128	112175297	UHN-48-V1	APC
5	112175216	112175386	UHN-48-V1	APC
5	112175306	112175475	UHN-48-V1	APC
5	112175394	112175566	UHN-48-V1	APC
5	112175512	112175683	UHN-48-V1	APC
5	112175630	112175799	UHN-48-V1	APC
5	112175740	112175911	UHN-48-V1	APC
5	112175854	112176042	UHN-48-V1	APC
11	108117817	108117989	UHN-48-V1	ATM
11	108119793	108119963	UHN-48-V1	ATM
11	108123513	108123683	UHN-48-V1	ATM
11	108137939	108138126	UHN-48-V1	ATM
11	108155104	108155281	UHN-48-V1	ATM
11	108170442	108170618	UHN-48-V1	ATM
11	108172391	108172571	UHN-48-V1	ATM
11	108173612	108173801	UHN-48-V1	ATM
11	108180915	108181101	UHN-48-V1	ATM
11	108200926	108201096	UHN-48-V1	ATM
11	108204651	108204823	UHN-48-V1	ATM
11	108205739	108205928	UHN-48-V1	ATM
11	108206566	108206750	UHN-48-V1	ATM
11	108218061	108218247	UHN-48-V1	ATM
11	108225562	108225751	UHN-48-V1	ATM
11	108236058	108236241	UHN-48-V1	ATM
7	140453093	140453267	UHN-48-V1	BRAF
7	140481369	140481545	UHN-48-V1	BRAF
16	68835613	68835782	UHN-48-V1	CDH1
16	68846109	68846283	UHN-48-V1	CDH1
16	68847246	68847422	UHN-48-V1	CDH1
9	21971123	21971308	UHN-48-V1	CDKN2A
5	149433616	149433799	UHN-48-V1	CSF1R
5	149453016	149453189	UHN-48-V1	CSF1R
3	41266010	41266180	UHN-48-V1	CTNNB1
7	55211052	55211238	UHN-48-V1	EGFR
7	55221792	55221964	UHN-48-V1	EGFR
7	55233019	55233203	UHN-48-V1	EGFR
7	55241649	55241827	UHN-48-V1	EGFR
7	55242388	55242576	UHN-48-V1	EGFR
7	55248879	55249052	UHN-48-V1	EGFR
7	55249003	55249178	UHN-48-V1	EGFR
7	55259486	55259662	UHN-48-V1	EGFR
17	37880191	37880361	UHN-48-V1	ERBB2
17	37880963	37881151	UHN-48-V1	ERBB2
17	37881298	37881482	UHN-48-V1	ERBB2
2	212288912	212289100	UHN-48-V1	ERBB4
2	212530036	212530210	UHN-48-V1	ERBB4
2	212576821	212576990	UHN-48-V1	ERBB4
2	212578315	212578499	UHN-48-V1	ERBB4
2	212587115	212587285	UHN-48-V1	ERBB4
2	212589783	212589957	UHN-48-V1	ERBB4
2	212652706	212652876	UHN-48-V1	ERBB4
2	212812127	212812311	UHN-48-V1	ERBB4
4	153245416	153245604	UHN-48-V1	FBXW7
4	153247248	153247417	UHN-48-V1	FBXW7
4	153249338	153249520	UHN-48-V1	FBXW7
4	153250853	153251031	UHN-48-V1	FBXW7
4	153258953	153259142	UHN-48-V1	FBXW7
8	38282183	38282360	UHN-48-V1	FGFR1
8	38285908	38286090	UHN-48-V1	FGFR1
10	123258006	123258184	UHN-48-V1	FGFR2
10	123274746	123274930	UHN-48-V1	FGFR2
10	123279385	123279555	UHN-48-V1	FGFR2
10	123279471	123279640	UHN-48-V1	FGFR2
10	123279587	123279769	UHN-48-V1	FGFR2
4	1803538	1803712	UHN-48-V1	FGFR3
4	1806091	1806277	UHN-48-V1	FGFR3
4	1807836	1808025	UHN-48-V1	FGFR3
4	1808295	1808464	UHN-48-V1	FGFR3
4	1808921	1809105	UHN-48-V1	FGFR3
13	28592590	28592766	UHN-48-V1	FLT3
13	28602295	28602464	UHN-48-V1	FLT3
13	28608214	28608402	UHN-48-V1	FLT3
13	28610098	28610267	UHN-48-V1	FLT3
19	3114824	3115004	UHN-48-V1	GNA11
19	3114958	3115133	UHN-48-V1	GNA11
19	3118802	3118989	UHN-48-V1	GNA11
19	3119208	3119395	UHN-48-V1	GNA11
19	3120865	3121035	UHN-48-V1	GNA11
19	3120985	3121170	UHN-48-V1	GNA11
19	3121121	3121304	UHN-48-V1	GNA11
9	80336110	80336280	UHN-48-V1	GNAQ
9	80336204	80336374	UHN-48-V1	GNAQ
9	80336320	80336495	UHN-48-V1	GNAQ
9	80343306	80343476	UHN-48-V1	GNAQ
9	80343392	80343561	UHN-48-V1	GNAQ
9	80343504	80343689	UHN-48-V1	GNAQ
9	80409249	80409421	UHN-48-V1	GNAQ
9	80409335	80409510	UHN-48-V1	GNAQ
9	80409459	80409639	UHN-48-V1	GNAQ
9	80412406	80412592	UHN-48-V1	GNAQ
20	57484390	57484560	UHN-48-V1	GNAS
12	121431385	121431558	UHN-48-V1	HNF1A
12	121432042	121432221	UHN-48-V1	HNF1A
11	533843	534021	UHN-48-V1	HRAS
11	534251	534434	UHN-48-V1	HRAS
2	209113084	209113264	UHN-48-V1	IDH1
9	5073737	5073923	UHN-48-V1	JAK2
19	17945666	17945840	UHN-48-V1	JAK3
19	17947981	17948169	UHN-48-V1	JAK3
4	55945984	55946155	UHN-48-V1	KDR
4	55946098	55946284	UHN-48-V1	KDR
4	55953777	55953965	UHN-48-V1	KDR
4	55955085	55955257	UHN-48-V1	KDR
4	55960959	55961129	UHN-48-V1	KDR
4	55962477	55962653	UHN-48-V1	KDR
4	55972936	55973106	UHN-48-V1	KDR
4	55979595	55979775	UHN-48-V1	KDR
4	55980320	55980496	UHN-48-V1	KDR
4	55561736	55561913	UHN-48-V1	KIT
4	55592155	55592341	UHN-48-V1	KIT
4	55593342	55593512	UHN-48-V1	KIT
4	55593436	55593609	UHN-48-V1	KIT
4	55593556	55593739	UHN-48-V1	KIT
4	55594193	55594380	UHN-48-V1	KIT
4	55595493	55595675	UHN-48-V1	KIT
4	55597467	55597652	UHN-48-V1	KIT
4	55599290	55599472	UHN-48-V1	KIT
4	55602666	55602850	UHN-48-V1	KIT
12	25378532	25378717	UHN-48-V1	KRAS
12	25380245	25380427	UHN-48-V1	KRAS
12	25398225	25398414	UHN-48-V1	KRAS
7	116339614	116339792	UHN-48-V1	MET
7	116340234	116340420	UHN-48-V1	MET
7	116411958	116412127	UHN-48-V1	MET
7	116417431	116417620	UHN-48-V1	MET
7	116423385	116423555	UHN-48-V1	MET
3	37067212	37067394	UHN-48-V1	MLH1
1	43814982	43815163	UHN-48-V1	MPL
9	139397740	139397928	UHN-48-V1	NOTCH1
9	139399316	139399485	UHN-48-V1	NOTCH1
5	170837493	170837677	UHN-48-V1	NPM1
1	115256500	115256680	UHN-48-V1	NRAS
1	115258702	115258884	UHN-48-V1	NRAS
4	55140981	55141157	UHN-48-V1	PDGFRA
4	55144120	55144306	UHN-48-V1	PDGFRA
4	55144519	55144703	UHN-48-V1	PDGFRA
4	55152012	55152184	UHN-48-V1	PDGFRA
3	178916836	178917024	UHN-48-V1	PIK3CA
3	178921525	178921709	UHN-48-V1	PIK3CA
3	178927906	178928082	UHN-48-V1	PIK3CA
3	178936044	178936214	UHN-48-V1	PIK3CA
3	178938832	178939004	UHN-48-V1	PIK3CA
3	178951881	178952054	UHN-48-V1	PIK3CA
3	178951999	178952184	UHN-48-V1	PIK3CA
10	89624214	89624388	UHN-48-V1	PTEN
10	89685275	89685459	UHN-48-V1	PTEN
10	89711865	89712039	UHN-48-V1	PTEN
10	89717489	89717668	UHN-48-V1	PTEN
10	89717615	89717801	UHN-48-V1	PTEN
10	89720684	89720870	UHN-48-V1	PTEN
10	89720814	89720991	UHN-48-V1	PTEN
12	112888135	112888323	UHN-48-V1	PTPN11
12	112926856	112927032	UHN-48-V1	PTPN11
13	48919156	48919336	UHN-48-V1	RB1
13	48923120	48923296	UHN-48-V1	RB1
13	48942655	48942826	UHN-48-V1	RB1
13	48955504	48955684	UHN-48-V1	RB1
13	49027112	49027288	UHN-48-V1	RB1
13	49033813	49033989	UHN-48-V1	RB1
13	49037815	49037985	UHN-48-V1	RB1
13	49039132	49039304	UHN-48-V1	RB1
10	43609048	43609226	UHN-48-V1	RET
10	43609902	43610075	UHN-48-V1	RET
10	43613810	43613998	UHN-48-V1	RET
10	43615533	43615703	UHN-48-V1	RET
10	43617388	43617564	UHN-48-V1	RET
18	48575131	48575301	UHN-48-V1	SMAD4
18	48581168	48581346	UHN-48-V1	SMAD4
18	48584528	48584714	UHN-48-V1	SMAD4
18	48586234	48586416	UHN-48-V1	SMAD4
18	48591796	48591982	UHN-48-V1	SMAD4
18	48593377	48593547	UHN-48-V1	SMAD4
18	48602998	48603168	UHN-48-V1	SMAD4
18	48604638	48604808	UHN-48-V1	SMAD4
22	24133939	24134126	UHN-48-V1	SMARCB1
22	24143210	24143383	UHN-48-V1	SMARCB1
22	24145552	24145726	UHN-48-V1	SMARCB1
22	24176324	24176495	UHN-48-V1	SMARCB1
7	128845073	128845257	UHN-48-V1	SMO
7	128846010	128846194	UHN-48-V1	SMO
7	128846348	128846536	UHN-48-V1	SMO
7	128850311	128850499	UHN-48-V1	SMO
7	128851563	128851734	UHN-48-V1	SMO
20	36031734	36031923	UHN-48-V1	SRC
19	1206993	1207169	UHN-48-V1	STK11
19	1220459	1220638	UHN-48-V1	STK11
19	1221232	1221407	UHN-48-V1	STK11
19	1223035	1223221	UHN-48-V1	STK11
17	7573977	7574147	UHN-48-V1	TP53
17	7576996	7577166	UHN-48-V1	TP53
17	7577495	7577683	UHN-48-V1	TP53
17	7578064	7578234	UHN-48-V1	TP53
17	7578156	7578325	UHN-48-V1	TP53
17	7578246	7578415	UHN-48-V1	TP53
17	7578346	7578515	UHN-48-V1	TP53
17	7578468	7578645	UHN-48-V1	TP53
17	7579324	7579507	UHN-48-V1	TP53
17	7579852	7580032	UHN-48-V1	TP53
3	10183769	10183952	UHN-48-V1	VHL
3	10188217	10188401	UHN-48-V1	VHL
3	10191450	10191634	UHN-48-V1	VHL
